x,T=59
-0.0647,-1.11022e-16
-0.04578,0.045892
-0.03528,0.059002
-0.02439,0.070242
-0.01528,0.07724
-0.00615,0.082242
0.04335,0.092674
0.06398,0.089342
0.09573,0.078048
0.11392,0.063864
0.12659,0.050169
0.14485,-1.11022e-16
