x,T=486
-0.00471,0.144589
0.04311,0.172474
0.09652,0.193635
0.14414,0.208427
0.19439,0.217863
0.24577,0.225055
0.29318,0.226506
0.34503,0.225345
0.39509,0.220441
0.44373,0.211669
0.49462,0.19916
0.54154,0.18041
0.59442,0.155685
0.64346,0.113996
0.69118,1e-06
