x,T=727
-0.00481,0.15232
0.04261,0.182822
0.0949,0.205852
0.14652,0.223643
0.19416,0.236815
0.2455,0.247249
0.29429,0.256183
0.34569,0.261506
0.39603,0.263709
0.4453,0.263666
0.49495,0.262253
0.5417,0.256969
0.59288,0.250944
0.64227,0.240677
0.69242,0.228292
0.74225,0.212539
0.79104,0.190924
0.84286,0.162956
0.89302,0.119648
0.94191,-1.11022e-16
