x,T=271
-0.00378,0.128381
0.04148,0.155514
0.09571,0.170068
0.14671,0.178257
0.19559,0.17971
0.24639,0.174558
0.29507,0.162668
0.34567,0.143301
0.39613,0.106103
0.44412,-1.11022e-16
