x,T=32
-0.05294,0.000244
-0.04662,0.024445
-0.03474,0.045038
-0.02489,0.050665
-0.01581,0.060157
-0.00521,0.065411
0.02009,0.070316
0.04662,0.065622
0.09632,-6e-06
